Lote,Nome,Contato,Email
A01,Pedro Jorge Farias, (81) 98765-4321,pedro.farias@example.com
A02,Ana Luiza Moreira, (21) 99876-5432,ana.moreira@example.com
A03,Lucas Gabriel Santos, (47) 98765-1234,lucas.santos@example.com
A04,Mariana Lima Costa, (61) 99876-1234,mariana.costa@example.com
A05,Guilherme Alves Pires, (11) 98765-9988,guilherme.pires@example.com
A06,Júlia Ribeiro Dias, (31) 99876-0000,julia.dias@example.com
A07,Rafael Oliveira Melo, (51) 98765-5555,rafael.melo@example.com
A08,Isabela Nunes Cunha, (71) 99876-4444,isabela.cunha@example.com
A09,Enzo Pereira Rocha, (85) 98765-3333,enzo.rocha@example.com
A10,Laura Gomes Freitas, (92) 99876-2222,laura.freitas@example.com
A11,Felipe Martins Leite, (16) 98765-1111,felipe.leite@example.com
A12,Heloísa Rodrigues Sales, (27) 99876-9999,heloisa.sales@example.com
A13,Vinícius Barbosa Morais, (41) 98765-8888,vinicius.morais@example.com
A14,Manuela Ferreira Castro, (48) 99876-7777,manuela.castro@example.com
A15,Daniel Xavier Bezerra, (62) 98765-6666,daniel.bezerra@example.com
A16,Cecília Santos Oliveira, (83) 99876-5555,cecilia.oliveira@example.com
A17,Artur Henrique Farias, (91) 98765-4444,artur.farias@example.com
A18,Alice Farias Dutra, (67) 99876-3333,alice.dutra@example.com
A19,João Victor Andrade, (79) 98765-2222,joao.andrade@example.com
A20,Sophia Cardoso Costa, (98) 99876-1111,sophia.costa@example.com
B01,Elias Miguel Ramos, (55) 98765-0101,elias.ramos@example.com
B02,Maria Eduarda Souza, (49) 99876-0202,maria.souza@example.com
B03,Caio César Guimarães, (34) 98765-0303,caio.guimaraes@example.com
B04,Brenda Caroline Neta, (75) 99876-0404,brenda.neta@example.com
B05,Thiago Lima Monteiro, (63) 98765-0505,thiago.monteiro@example.com
B06,Nicole Vitória Vieira, (69) 99876-0606,nicole.vieira@example.com
B07,Gustavo Henrique Lima, (82) 98765-0707,gustavo.lima@example.com
B08,Lívia Gabriela Ferreira, (74) 99876-0808,livia.ferreira@example.com
B09,Davi Lucca Rocha, (65) 98765-0909,davi.rocha@example.com
B10,Giovanna Martins Alves, (96) 99876-1010,giovanna.alves@example.com
B11,Gabriel Souza Barbosa, (88) 98765-1111,gabriel.barbosa@example.com
B12,Emanuelly Dias Campos, (93) 99876-1212,emanuelly.campos@example.com
B13,Miguel Ângelo Freitas, (86) 98765-1313,miguel.freitas@example.com
B14,Vitória Pires Gomes, (95) 99876-1414,vitoria.gomes@example.com
B15,Benjamin Santos Costa, (89) 98765-1515,benjamin.costa@example.com
B16,Luana Mendes Silva, (73) 99876-1616,luana.silva@example.com
B17,Henrique Costa Bezerra, (77) 98765-1717,henrique.bezerra@example.com
B18,Marina Sales Rodrigues, (54) 99876-1818,marina.rodrigues@example.com
B19,Leonardo Vieira Barros, (87) 98765-1919,leonardo.barros@example.com
B20,Letícia Lima Teixeira, (99) 99876-2020,leticia.teixeira@example.com
C01,Ricardo Jorge Almeida, (53) 98765-2121,ricardo.almeida@example.com
C02,Sofia Carolina Azevedo, (45) 99876-2222,sofia.azevedo@example.com
C03,Eduardo Luís Ramos, (37) 98765-2323,eduardo.ramos@example.com
C04,Lara Beatriz Barbosa, (76) 99876-2424,lara.barbosa@example.com
C05,Alexandre César Rocha, (68) 98765-2525,alexandre.rocha@example.com
C06,Beatriz Helena Souza, (64) 99876-2626,beatriz.souza@example.com
C07,Pietro Ferreira Dias, (84) 98765-2727,pietro.dias@example.com
C08,Elisa Vitória Melo, (78) 99876-2828,elisa.melo@example.com
C09,Cauã Miguel Cunha, (66) 98765-2929,caua.cunha@example.com
C10,Isadora Neta Mendes, (94) 99876-3030,isadora.mendes@example.com
C11,João Pedro Faria, (80) 98765-3131,joao.faria@example.com
C12,Yasmin Gabriela Silva, (97) 99876-3232,yasmin.silva@example.com
C13,Nicolas Oliveira Leite, (90) 98765-3333,nicolas.leite@example.com
C14,Helena Cardoso Pires, (56) 99876-3434,helena.pires@example.com
C15,Antônio Carlos Costa, (90) 98765-3535,antonio.costa@example.com
C16,Evelyn Santos Pereira, (58) 99876-3636,evelyn.pereira@example.com
C17,Lucas Vinícius Dutra, (72) 98765-3737,lucas.dutra@example.com
C18,Lorena Martins Sales, (44) 99876-3838,lorena.sales@example.com
C19,Rafaela Alves Lima, (80) 98765-3939,rafaela.lima@example.com
C20,Mariana Lima Teixeira, (38) 99876-4040,mariana.teixeira@example.com
D01,Bruno Henrique Vieira, (43) 98765-4141,bruno.vieira@example.com
D02,Amanda Pires Campos, (28) 99876-4242,amanda.campos@example.com
D03,Fernando Xavier Melo, (52) 98765-4343,fernando.melo@example.com
D04,Carolina Mendes Freitas, (60) 99876-4444,carolina.freitas@example.com
D05,Felipe Eduardo Sales, (46) 98765-4545,felipe.sales@example.com
D06,Gabriela Rocha Neta, (35) 99876-4646,gabriela.neta@example.com
D07,Davi Lucas Azevedo, (70) 98765-4747,davi.azevedo@example.com
D08,Heloísa Cunha Barros, (57) 99876-4848,heloisa.barros@example.com
D09,Enzo Emanuel Silva, (67) 98765-4949,enzo.silva@example.com
D10,Luiza Fernanda Pires, (42) 99876-5050,luiza.pires@example.com
D11,Ricardo Miguel Dutra, (79) 98765-5151,ricardo.dutra@example.com
D12,Laura Júlia Leite, (83) 99876-5252,laura.leite@example.com
D13,Lucas Vinícius Souza, (86) 98765-5353,lucas.souza@example.com
D14,Isabella Vitória Santos, (93) 99876-5454,isabella.santos@example.com
